Node,Feat3,Feat4,Y
684,8,1,38
684,29,1,32
689,22,1,32
691,43,1,35
692,46,1,35
693,10,1,35
694,63,1,34
695,29,1,32
696,28,1,26
697,12,1,50
699,20,1,32
702,41,1,52
703,22,1,21
704,9,1,35
705,12,1,55
707,19,1,45
710,10,1,35
711,10,1,35
712,9,1,17
713,20,1,35
717,10,1,55
718,31,1,35
726,39,1,18
733,60,1,35
734,23,1,37
736,28,1,33
740,23,1,37
741,9,1,35
742,24,1,35
743,13,1,19
744,9,1,35
745,9,1,35
746,49,1,23
747,9,1,35
748,9,1,35
751,2,1,1
752,22,1,36
754,10,1,40
755,9,1,35
756,18,1,35
758,9,1,35
760,12,1,50
764,53,1,34
765,47,1,35
768,47,1,35
769,47,1,35
770,28,1,12
771,10,1,35
772,27,1,12
775,10,1,55
776,19,1,50
778,29,1,35
779,52,1,34
780,29,1,35
787,20,1,34
789,14,1,16
792,9,1,35
793,21,1,17
797,38,1,9
801,55,1,21
807,66,1,34
810,30,1,35
812,45,1,35
816,29,1,35
817,43,1,35
820,40,1,0
821,10,1,35
822,49,1,35
827,29,1,55
828,10,1,55
829,0,1,35
830,63,1,34
831,21,1,20
832,0,1,56
834,11,1,16
835,23,1,21
837,57,1,34
838,43,1,35
839,47,1,35
841,43,1,32
842,51,1,36
844,29,1,35
845,76,1,50
849,19,1,45
851,10,1,35
852,60,1,35
859,39,1,25
862,9,1,55
865,58,1,21
866,10,1,55
867,65,1,35
870,19,1,38
871,73,1,7
872,40,1,35
874,23,1,21
877,27,1,35
880,75,1,7
882,29,1,35
884,13,1,16
885,38,1,35
886,28,1,12
890,51,1,12
892,9,1,0
894,73,1,7
898,68,1,58
902,10,1,55
903,41,1,52
904,7,1,9
906,47,1,35
909,29,1,35
910,0,1,35
911,7,1,47
911,28,1,37
912,48,1,36
913,51,1,20
921,38,1,35
923,0,1,63
924,66,1,34
926,27,1,32
928,18,1,35
932,12,1,50
934,45,1,35
939,49,1,50
941,63,1,34
942,19,1,46
943,11,1,17
944,66,1,34
946,9,1,35
948,29,1,35
950,9,1,20
956,9,1,35
957,53,1,34
958,19,1,50
959,27,1,46
960,18,1,32
961,38,1,35
964,49,1,48
966,59,1,35
969,31,1,35
970,9,1,27
975,21,1,42
981,67,1,21
983,60,1,35
986,27,1,32
988,28,1,33
990,19,1,45
992,30,1,32
994,9,1,17
995,29,1,35
1005,38,1,35
1010,10,1,19
1011,5,1,59
1013,50,1,19
1014,10,1,55
1016,23,1,37
1018,9,1,35
1019,66,1,34
1024,51,1,34
1026,23,1,37
1027,19,1,4
1028,19,1,4
1030,23,1,37
1031,42,1,34
1034,54,1,34
1035,47,1,35
1036,9,1,17
1040,66,1,34
1041,63,1,34
1042,19,1,25
1043,18,1,32
1044,11,1,34
1048,30,1,32
1052,45,1,35
1055,28,1,18
1055,0,1,18
1056,19,1,11
1057,9,1,18
1059,10,1,35
1062,23,1,21
1064,30,1,32
1068,9,1,20
1070,8,1,23
1071,43,1,32
1072,21,1,14
1073,39,1,40
1075,8,1,30
1077,39,1,40
1078,28,1,50
1079,20,1,35
1082,31,1,32
1083,29,1,35
1084,24,1,32
1086,28,1,20
1087,76,1,50
1089,28,1,18
1090,39,1,40
1091,39,1,48
1092,50,1,20
1094,30,1,35
1097,27,1,32
1099,10,1,35
1100,45,1,35
1102,10,1,35
1105,51,1,34
1108,10,1,35
1110,10,1,40
1111,41,1,34
1112,9,1,35
1113,9,1,35
1114,19,1,25
1115,38,1,50
1116,24,1,35
1117,18,1,35
1118,7,1,3
1122,40,1,35
1123,38,1,40
1124,29,1,35
1125,7,1,35
1126,23,1,37
1127,19,1,46
1128,10,1,35
1131,46,1,34
1134,24,1,35
1135,31,1,32
1136,45,1,35
1137,51,1,21
1138,12,1,16
1139,39,1,20
1140,58,1,21
1141,19,1,45
1146,0,1,59
1147,0,1,49
1148,19,1,27
1150,10,1,55
1151,18,1,6
1154,31,1,34
1155,20,1,13
1156,29,1,35
1159,30,1,35
1161,22,1,42
1165,10,1,18
1167,39,1,50
1169,9,1,40
1171,1,1,56
1174,27,1,50
1177,1,1,56
1179,10,1,55
1180,54,1,34
1182,54,1,34
1186,27,1,35
1188,49,1,33
1191,50,1,18
1193,29,1,35
1195,21,1,35
1196,29,1,35
1198,42,1,35
1199,28,1,33
1200,29,1,35
1201,45,1,35
1205,0,1,35
1208,45,1,35
1213,3,1,59
1215,23,1,21
1217,29,1,35
1218,39,1,40
1219,51,1,21
1220,28,1,30
1221,47,1,35
1226,0,1,32
1228,10,1,35
1229,10,1,9
1230,52,1,9
1232,60,1,35
1234,63,1,34
1236,29,1,32
1237,20,1,32
1241,42,1,34
1243,71,1,20
1244,19,1,25
1245,10,1,35
1246,66,1,34
1249,10,1,55
1250,12,1,55
1251,19,1,4
1252,23,1,37
1253,29,1,21
1254,31,1,19
1255,29,1,35
1256,20,1,20
1261,3,1,59
1263,27,1,35
1264,1,1,61
1265,43,1,35
1267,66,1,34
1268,29,1,35
1271,45,1,35
1273,40,1,19
1274,19,1,5
1277,6,1,59
1278,10,1,9
1279,66,1,18
1280,39,1,25
1281,44,1,35
1283,73,1,7
1284,20,1,14
1287,20,1,32
1288,9,1,35
1289,41,1,35
1291,45,1,35
1295,0,1,4
1296,44,1,32
1299,9,1,40
1300,13,1,34
1302,30,1,45
1304,20,1,47
1305,23,1,35
1307,43,1,35
1308,60,1,35
1310,9,1,35
1312,29,1,35
1313,43,1,32
1315,60,1,34
1318,28,1,50
1320,61,1,35
1321,29,1,35
1324,27,1,35
1327,66,1,50
1328,66,1,34
1330,19,1,5
1331,28,1,27
1332,50,1,36
1333,45,1,35
1335,70,1,35
1336,47,1,35
1338,28,1,36
1339,19,1,11
1340,39,1,25
1347,52,1,34
1348,51,1,34
1350,20,1,14
1351,52,1,34
1352,50,1,12
1357,20,1,32
1360,66,1,34
1362,60,1,58
1364,28,1,36
1368,50,1,18
1370,52,1,34
1375,29,1,35
1376,10,1,27
1377,20,1,32
1384,54,1,34
1388,76,1,50
1389,63,1,34
1390,21,1,35
1395,50,1,16
1398,46,1,34
1399,44,1,34
1402,53,1,34
1406,51,1,21
1407,45,1,35
1412,28,1,50
1413,18,1,37
1415,47,1,35
1417,38,1,40
1418,60,1,34
1420,72,1,34
1421,53,1,34
1423,66,1,34
1425,20,1,32
1427,44,1,34
1428,3,1,59
1431,29,1,32
1432,52,1,34
1436,60,1,35
1440,52,1,34
1441,10,1,35
1446,20,1,32
1448,26,1,35
1449,13,1,16
1452,21,1,52
1453,19,1,41
1453,8,1,38
1454,19,1,25
1455,8,1,36
1457,9,1,21
1459,27,1,35
1462,29,1,35
1462,27,1,35
1465,10,1,42
1466,9,1,51
1467,27,1,35
1468,9,1,55
1468,19,1,45
1468,50,1,34
1471,19,1,50
1475,10,1,42
1478,8,1,25
1479,26,1,35
1480,45,1,34
1481,39,1,36
1483,8,1,36
1485,60,1,35
1486,45,1,34
1488,28,1,36
1489,29,1,35
1490,64,1,18
1491,52,1,34
1492,59,1,7
1495,53,1,34
1496,24,1,32
1497,9,1,51
1498,10,1,40
1500,29,1,35
1501,11,1,21
1502,24,1,35
1504,32,1,47
1505,11,1,34
1506,45,1,34
1508,51,1,34
1509,47,1,35
1510,20,1,32
1511,40,1,32
1514,0,1,32
1516,0,1,34
1518,46,1,34
1519,45,1,34
1522,58,1,48
1524,31,1,35
1525,44,1,34
1529,10,1,34
1530,19,1,23
1531,76,1,50
1532,28,1,12
1535,19,1,46
1536,20,1,40
1536,18,1,32
1536,20,1,32
1536,0,1,40
1536,9,1,32
1536,21,1,32
1536,28,1,33
1536,21,1,52
1537,30,1,32
1538,68,1,58
1540,55,1,21
1541,46,1,34
1542,19,1,33
1543,12,1,28
1546,28,1,36
1547,54,1,34
1548,19,1,45
1550,27,1,35
1551,28,1,36
1553,11,1,6
1554,49,1,50
1558,47,1,35
1559,42,1,35
1563,31,1,32
1564,49,1,0
1565,26,1,35
1566,8,1,36
1567,53,1,34
1571,10,1,55
1574,19,1,4
1576,6,1,59
1577,12,1,50
1579,28,1,36
1582,19,1,50
1583,61,1,35
1584,28,1,50
1585,51,1,34
1590,20,1,32
1593,32,1,34
1595,27,1,32
1596,59,1,34
1597,27,1,32
1599,11,1,6
1600,53,1,34
1602,39,1,50
1605,23,1,35
1607,39,1,40
1611,66,1,34
1613,28,1,36
1614,21,1,52
1615,1,1,31
1620,19,1,50
1621,27,1,35
1622,47,1,35
1623,28,1,12
1624,19,1,25
1625,53,1,9
1630,29,1,45
1633,19,1,46
1635,12,1,50
1636,46,1,34
1637,11,1,50
1638,3,1,59
1639,9,1,55
1640,47,1,35
1641,29,1,35
1645,54,1,34
1647,11,1,21
1648,9,1,9
1649,30,1,35
1651,20,1,32
1652,11,1,44
1656,20,1,20
1658,20,1,32
1659,50,1,19
1660,8,1,23
1661,20,1,32
1666,39,1,50
1668,29,1,35
1669,67,1,20
1672,11,1,6
1673,66,1,34
1674,60,1,35
1675,2,1,59
1676,9,1,51
1677,10,1,42
1682,28,1,36
1683,54,1,34
1685,9,1,20
1686,47,1,35
1688,41,1,35
1690,8,1,52
1691,28,1,36
1695,39,1,18
1696,21,1,52
1698,27,1,32
1700,74,1,50
1701,74,1,50
1704,30,1,35
1707,51,1,34
1708,8,1,26
1715,47,1,35
1717,39,1,40
1718,55,1,34
1719,28,1,33
1720,10,1,34
1721,39,1,50
1721,85,1,7
1725,46,1,34
1726,20,1,32
1727,11,1,17
1729,20,1,32
1734,24,1,35
1735,8,1,25
1737,63,1,34
1738,63,1,34
1739,20,1,32
1740,23,1,37
1742,13,1,34
1743,76,1,50
1744,12,1,50
1747,37,1,34
1749,46,1,34
1750,63,1,34
1751,50,1,34
1760,76,1,50
1763,49,1,48
1764,28,1,36
1766,38,1,32
1767,28,1,50
1768,11,1,34
1770,47,1,35
1771,31,1,35
1773,18,1,50
1776,59,1,34
1780,20,1,32
1781,27,1,32
1784,44,1,35
1786,54,1,34
1792,21,1,35
1798,52,1,34
1801,53,1,34
1805,28,1,12
1809,8,1,37
1810,21,1,52
1811,8,1,23
1812,63,1,34
1813,9,1,55
1814,18,1,33
1816,18,1,35
1817,19,1,46
1818,70,1,35
1819,43,1,32
1820,66,1,34
1821,19,1,46
1826,72,1,50
1827,29,1,35
1829,24,1,35
1830,11,1,34
1832,69,1,35
1833,29,1,46
1836,8,1,49
1837,20,1,32
1839,20,1,32
1844,62,1,34
1845,19,1,45
1847,23,1,35
1848,8,1,49
1849,8,1,33
1852,10,1,27
1854,28,1,27
1857,0,1,32
1859,44,1,32
1860,66,1,34
1864,8,1,30
1865,52,1,34
1867,23,1,35
1872,20,1,32
1874,54,1,34
1875,10,1,20
1875,20,1,32
1878,66,1,34
1879,3,1,59
1880,50,1,34
1881,43,1,35
1882,12,1,50
1883,24,1,32
1884,29,1,35
1885,11,1,50
1886,66,1,34
1888,29,1,35
1890,8,1,4
1891,7,1,35
1895,27,1,32
1897,24,1,35
1898,38,1,25
1899,18,1,32
1900,30,1,32
1901,43,1,32
1906,27,1,35
1907,18,1,55
1908,29,1,35
1909,27,1,35
1910,29,1,35
1911,28,1,27
1914,18,1,46
1917,65,1,20
1919,27,1,46
1921,18,1,35
1922,27,1,35
1923,18,1,46
1925,27,1,46
1926,27,1,35
1927,56,1,34
1929,29,1,35
1930,29,1,35
1932,29,1,35
1935,60,1,34
1936,29,1,35
1937,68,1,58
1939,10,1,34
1941,50,1,34
1943,40,1,35
1945,60,1,35
1947,9,1,35
1949,42,1,34
1950,53,1,34
1952,23,1,21
1953,28,1,36
1954,29,1,35
1955,29,1,35
1956,50,1,34
1958,39,1,40
1959,39,1,40
1960,29,1,35
1962,19,1,46
1963,1,1,56
1964,11,1,55
1970,19,1,55
1975,19,1,33
1976,50,1,36
1977,10,1,55
1979,19,1,30
1979,0,1,30
1980,8,1,49
1984,45,1,34
1985,28,1,37
1985,28,1,50
1987,61,1,18
1988,8,1,52
1989,76,1,50
1990,71,1,20
1991,34,1,34
1992,43,1,35
2000,10,1,14
2000,11,1,0
2000,21,1,14
2000,2,1,56
2002,54,1,34
2007,3,1,59
2014,41,1,52
2015,6,1,59
2018,52,1,34
2019,54,1,34
2022,52,1,34
2023,19,1,50
2026,51,1,34
2029,6,1,59
2036,19,1,4
2037,42,1,34
2041,18,1,35
2042,21,1,52
2046,29,1,35
2049,54,1,34
2050,28,1,50
2053,10,1,27
2055,10,1,35
2057,52,1,34
2059,49,1,48
2060,28,1,40
2062,19,1,46
2063,23,1,37
2065,12,1,34
2066,28,1,36
2067,8,1,49
2068,40,1,35
2070,30,1,32
2071,32,1,34
2073,42,1,35
2074,28,1,36
2076,47,1,35
2077,28,1,36
2080,49,1,32
2082,29,1,32
2083,10,1,27
2085,28,1,36
2088,10,1,35
2093,27,1,35
2094,10,1,55
2095,9,1,55
2097,66,1,34
2098,83,1,34
2099,20,1,32
2102,20,1,32
2103,19,1,50
2104,12,1,50
2106,5,1,59
2106,8,1,49
2108,7,1,32
2110,47,1,35
2111,22,1,32
2112,39,1,40
2113,40,1,34
2114,41,1,34
2115,20,1,32
2121,14,1,34
2122,53,1,34
2123,63,1,34
2124,63,1,34
2126,54,1,34
2127,12,1,50
2130,1,1,56
2131,49,1,32
2133,28,1,50
2135,66,1,34
2136,70,1,35
2137,45,1,34
2139,19,1,23
2140,61,1,18
2145,45,1,34
2147,39,1,50
2148,20,1,32
2152,42,1,34
2153,50,1,34
2156,29,1,45
2160,28,1,36
2162,66,1,34
2164,44,1,32
2165,30,1,45
2169,19,1,48
2171,9,1,35
2171,7,1,27
2172,23,1,35
2173,38,1,35
2175,39,1,9
2176,10,1,35
2177,43,1,35
2179,9,1,35
2181,9,1,35
2182,24,1,35
2183,11,2,7
2184,8,2,29
2185,59,2,18
2186,63,2,18
2188,27,2,34
2189,47,2,35
2192,23,2,37
2194,19,2,5
2195,22,2,32
2196,10,2,35
2197,60,2,35
2199,38,2,34
2202,42,2,35
2205,4,2,59
2206,10,2,35
2207,43,2,35
2208,66,2,34
2210,9,2,55
2210,28,2,27
2212,63,2,34
2213,19,2,5
2215,20,2,32
2217,41,2,35
2218,47,2,35
2225,20,2,32
2228,59,2,18
2229,22,2,32
2233,29,2,46
2235,19,2,50
2237,43,2,34
2241,42,2,34
2242,37,2,34
2248,52,2,34
2249,41,2,34
2250,41,2,34
2253,10,2,35
2254,19,2,41
2255,11,2,34
2256,67,2,35
2259,43,2,35
2261,46,2,34
2271,18,2,40
2272,52,2,34
2275,42,2,34
2280,52,2,34
2281,10,2,55
2291,10,3,42
2293,29,3,35
2297,66,3,34
2303,44,3,34
2304,66,3,34
2308,34,3,34
2309,7,3,32
2316,19,3,4
2319,52,3,34
2322,20,3,47
2325,26,4,35
2326,18,4,32
2329,7,4,34
2330,52,4,34
2335,50,4,34
2336,86,4,7
2338,20,4,32
2339,40,4,0
2340,49,4,33
2345,13,4,34
2346,22,4,32
2348,18,4,32
2349,44,4,32
2350,41,4,35
2351,61,4,35
2354,18,4,35
2355,18,4,32
2356,47,4,35
2357,8,4,4
2361,19,4,24
2363,68,4,7
2364,22,4,14
2365,59,4,18
2367,30,4,34
2370,29,4,34
2371,9,4,32
2372,18,4,45
2373,23,4,37
2375,20,4,14
2378,38,4,35
2379,28,4,27
2382,19,4,25
2383,11,4,58
2385,0,4,42
2386,9,4,32
2387,23,4,37
2388,28,4,27
2388,11,4,0
2391,45,4,35
2393,20,4,32
2394,45,4,35
2395,7,4,32
2397,26,4,35
2398,74,4,7
2400,49,4,33
2402,18,4,32
2404,18,4,32
2407,19,4,45
2408,31,4,34
2411,0,4,35
2413,10,4,35
2414,19,4,30
2415,11,4,34
2416,39,4,40
2418,8,4,49
2419,52,4,34
2420,45,4,34
2422,29,4,35
2424,20,4,32
2426,52,4,21
2427,9,4,27
2428,28,4,37
2429,23,4,37
2430,66,4,34
2432,11,4,0
2433,7,4,47
2435,44,4,32
2437,35,4,34
2438,20,5,32
2439,20,5,32
2441,7,5,11
2442,10,5,35
2443,7,5,0
2447,23,5,37
2449,20,5,32
2451,20,5,32
2454,45,5,35
2455,52,5,34
2456,7,5,35
2457,45,5,35
2458,9,5,51
2459,20,5,32
2460,8,5,38
2461,19,5,50
2462,82,5,34
2463,8,5,36
2464,47,5,35
2465,18,5,32
2469,20,5,32
2472,18,5,32
2473,45,5,35
2475,27,5,32
2476,19,5,11
2477,20,5,32
2480,31,6,35
2481,32,6,34
2482,27,6,35
2483,7,6,17
2484,7,6,35
2485,10,6,34
2486,9,6,0
2490,24,6,0
2491,24,6,0
2493,23,6,0
2494,45,6,35
2497,45,6,35
2498,45,6,35
2499,20,6,32
2501,60,6,35
2502,9,6,0
2506,9,6,0
2510,21,6,28
2512,34,6,34
2514,27,6,34
2519,7,6,35
2523,86,6,7
2526,28,6,23
2526,30,6,19
2528,10,6,35
2529,60,6,35
2530,0,6,34
2532,21,6,35
2535,18,6,36
2536,41,6,35
2537,40,6,34
2539,10,6,42
2541,18,6,30
2545,19,6,46
2550,52,6,34
2552,3,6,59
2553,0,6,61
2557,60,6,35
2559,26,6,35
2560,60,6,35
2563,9,6,35
2574,49,6,0
2575,66,6,34
2578,9,6,0
2580,7,6,0
2584,3,6,59
2585,29,6,35
2587,20,6,32
2589,23,6,35
2590,24,6,35
2591,29,6,7
2592,7,6,35
2594,76,6,50
2599,10,6,35
2600,7,6,35
2601,60,6,35
2603,18,6,5
2605,59,6,18
2608,38,6,50
2610,18,6,35
2611,21,6,13
2613,76,6,7
2616,40,6,32
2617,31,6,35
2619,20,6,34
2620,66,6,34
2621,9,6,35
2622,9,6,35
2625,38,6,35
2626,18,6,35
2627,11,6,34
2629,0,7,35
2632,9,7,35
2634,21,7,35
2638,27,7,35
2640,61,7,35
2641,9,7,0
2643,28,7,52
2651,43,7,35
2655,15,7,34
2658,29,7,35
2669,9,7,35
2671,9,7,7
2676,0,7,55
2677,20,7,32
2678,20,7,32
2679,18,7,32
2681,9,7,35
2688,64,7,34
2689,23,7,37
2690,34,7,34
2691,7,7,47
2695,21,7,35
2697,29,7,35
2699,31,7,34
2700,34,7,34
2701,0,7,18
2702,10,8,42
2707,73,8,7
2709,40,8,52
2710,7,8,35
2713,91,8,7
2714,45,8,35
2715,22,8,21
2716,91,8,7
2717,91,8,7
2719,30,8,47
2720,10,8,19
2722,19,8,45
2725,23,8,37
2726,7,8,28
2729,91,8,7
2731,20,8,32
2733,9,8,35
2734,8,8,49
2738,8,8,26
2739,28,8,27
2740,7,8,35
2742,52,8,34
2743,27,8,34
2747,10,8,35
2748,31,8,34
2750,29,8,35
2754,18,8,34
2755,41,8,35
2757,7,8,34
2758,9,8,0
2760,23,8,37
2766,39,8,12
2767,10,8,35
2769,52,8,34
2773,19,8,5
2775,52,8,18
2778,28,8,36
2780,26,8,35
2781,52,8,18
2784,9,8,35
2786,20,8,32
2792,44,8,35
2796,8,8,12
2797,45,8,34
2800,74,8,7
2801,39,8,40
2805,20,8,6
2806,8,8,36
2808,52,8,34
2809,23,8,37
2811,9,8,35
2813,68,8,9
2814,23,8,10
2817,20,8,32
2819,61,8,18
2820,9,8,0
2822,28,8,50
2823,18,8,35
2824,8,8,33
2825,52,8,34
2829,51,8,36
2830,54,8,34
2831,18,8,35
2832,9,8,0
2833,27,8,34
2837,20,8,40
2838,24,8,32
2841,30,8,45
2845,0,9,34
2848,28,9,33
2850,19,9,45
2851,9,9,44
2852,51,9,58
2862,66,9,34
2864,39,9,50
2894,59,9,35
2900,65,9,34
2901,8,9,36
2902,10,9,40
2904,1,9,31
2906,27,9,32
2907,59,9,35
2913,7,9,5
2924,20,9,47
2931,27,9,50
2937,20,9,37
2940,74,9,7
2955,15,10,34
2957,18,10,14
2959,47,10,35
2960,19,10,46
2961,42,10,35
2962,20,10,47
2965,47,10,35
2966,10,10,21
2967,51,10,34
2973,19,10,50
2975,9,10,17
2977,42,10,35
2979,76,10,50
2982,45,10,35
2983,76,10,50
2987,23,10,37
2988,32,10,32
2995,7,10,10
3000,32,10,32
3005,45,10,34
3009,19,10,45
3011,4,10,59
3012,9,10,55
3013,45,10,35
3018,7,10,47
3019,24,10,51
3021,47,10,35
3023,17,10,34
3024,10,10,35
3025,52,10,34
3028,23,10,0
3033,20,10,32
3035,82,10,7
3037,1,10,31
3039,19,10,30
3039,47,10,35
3039,12,10,50
3040,9,10,42
3042,9,10,51
3046,29,10,46
3051,12,10,50
3053,8,10,12
3054,51,10,20
3057,19,10,45
3058,19,10,50
3061,19,10,46
3065,19,10,50
3068,10,10,35
3069,27,10,32
3082,41,10,34
3090,20,10,32
3100,39,10,50
3101,29,10,35
3103,18,10,25
3108,41,10,35
3109,9,10,17
3114,27,10,40
3117,12,10,55
3119,27,10,32
3121,49,10,48
3122,10,10,40
3125,30,10,45
3126,8,10,3
3127,36,10,34
3129,20,10,35
3134,28,10,33
3139,60,10,35
3142,26,10,35
3144,59,10,35
3158,30,10,35
3165,31,10,35
3168,39,10,47
3172,52,10,34
3175,19,10,4
3177,66,10,34
3179,9,10,0
3182,19,10,4
3183,19,10,50
3195,19,10,4
3203,10,10,21
3204,19,10,4
3211,8,10,36
3212,50,10,36
3213,20,10,32
3214,19,10,4
3215,43,10,32
3217,29,10,35
3228,20,10,32
3232,9,10,35
3238,39,10,40
3245,49,10,0
3249,32,10,32
3251,20,10,47
3252,27,10,32
3254,49,10,0
3255,39,10,47
3256,9,10,40
3260,28,10,30
3261,4,10,59
3263,19,10,5
3264,57,10,35
3273,45,10,35
3277,52,10,34
3279,9,10,55
3280,76,10,7
3285,21,10,9
3289,19,10,12
3290,66,10,34
3292,19,11,25
3294,23,11,0
3298,9,11,0
3299,40,11,0
3301,9,11,35
3302,22,11,0
3303,9,11,35
3305,22,11,0
3310,48,11,0
