Node,Y
34334,50
39687,34
45512,34
33271,50
26850,34
61956,34
22430,34
104738,56
54303,35
87947,34
19079,34
42036,34
82628,34
32914,34
86776,37
35730,34
83560,41
25044,18
87737,34
72080,32
96615,34
60766,34
81383,34
2870,34
74513,32
106315,34
54085,56
68531,0
63552,34
31823,52
74658,32
27595,48
91618,11
63604,34
89955,50
76034,34
85886,46
48195,34
61,35
28920,35
8883,34
5894,34
72317,34
53676,50
51590,32
80378,14
46598,34
60645,3
46947,34
36622,34
95569,50
13648,34
72871,34
32114,18
3649,37
23266,34
81303,34
37056,34
25004,35
71693,7
81814,41
72295,34
46022,52
56361,37
91493,35
25964,7
86800,50
68814,34
51589,34
33277,34
2711,34
66746,34
16923,34
67453,40
14186,35
16624,0
6518,23
9742,7
12166,30
29555,34
27374,32
67101,34
59250,51
1325,34
6365,35
104685,7
86184,34
101193,32
101781,48
21541,52
22188,33
13260,34
22826,42
17550,18
77362,50
58740,34
35832,7
42214,34
62048,34
53829,34
95848,21
56826,34
53585,45
26934,37
48268,50
66704,34
795,34
43967,34
44393,34
51151,50
22793,52
97725,50
15891,35
105236,35
38944,34
29661,34
400,35
53742,34
71250,40
54363,34
389,7
30847,49
49101,37
32864,20
97997,34
76377,34
67746,40
100160,34
65201,34
55007,10
71285,33
55542,46
25888,50
93989,50
1705,35
68790,33
22198,35
40847,21
86269,40
42542,34
94095,34
29662,35
100358,34
22018,35
82212,34
77139,46
86124,37
18382,35
91646,50
25104,45
106501,34
69228,52
17378,37
44076,34
62137,35
75492,34
57532,33
7569,34
74913,34
94077,50
37400,37
78781,35
1007,17
42729,34
74863,10
44350,10
66681,50
6927,0
84749,50
43592,34
13888,34
61399,34
56438,34
79405,34
103467,34
6003,35
68237,37
47041,0
51406,34
80520,50
91705,40
84518,10
20665,7
95877,35
13946,30
36624,34
96115,34
18926,55
93025,40
20831,32
69519,38
54433,45
12595,0
21277,0
12450,35
48015,34
68191,7
80403,50
27966,32
26222,0
7674,35
95839,7
56325,50
82478,34
79443,50
102557,34
90668,34
54655,35
19471,35
47984,50
1334,34
100385,34
96381,60
45758,32
79416,34
94043,35
82136,35
35814,35
70127,35
97526,34
29519,45
43547,34
30465,34
76351,34
23548,34
26750,34
93298,15
23180,33
45434,50
60416,32
78865,34
90997,7
7018,37
106286,14
94397,34
46967,50
82149,32
78833,34
16013,35
7212,34
31585,35
79043,48
16742,27
18432,35
72285,41
52136,34
7405,34
68998,50
101496,50
77804,33
33680,7
33652,32
931,50
13112,35
56729,46
5968,34
20496,7
67814,34
98613,35
96076,18
23405,35
39793,33
81221,34
86474,35
103905,32
61003,34
74256,34
26160,32
51628,34
62066,35
41330,35
104053,59
76931,20
63587,0
96106,34
46783,34
36040,37
7013,34
90233,50
79598,35
46497,35
19059,0
49400,35
9131,34
94399,34
32654,34
54037,34
45532,37
56334,0
33554,34
87841,50
40002,14
85695,35
57003,37
51820,34
36577,35
23711,7
6574,32
5903,34
34967,34
83753,34
36768,47
84039,34
80583,35
1894,38
27892,40
89552,34
73728,34
102374,50
105882,34
54428,35
77090,34
7142,32
980,35
4637,50
18885,34
8048,40
21604,35
37651,34
101226,35
51186,42
48701,34
23502,50
39085,7
24976,50
82044,50
8378,35
81510,34
7518,34
106638,34
67180,34
64162,34
4935,34
19178,35
26962,35
65117,35
52194,32
11027,34
95050,34
59279,37
22400,34
30838,34
74704,40
20048,0
59161,34
17312,37
21403,34
61442,35
42956,32
82980,35
85273,34
44204,47
104525,46
65655,34
57866,46
39909,7
22751,34
50442,34
106519,35
64032,35
91179,34
95933,35
64500,34
14263,34
2527,32
36572,35
25572,0
6149,35
26615,0
28009,35
91261,50
57150,33
19023,34
43989,35
47494,34
49108,50
11990,34
47778,28
98531,45
64723,32
82435,38
74339,34
84894,34
47159,34
86568,21
13350,35
46896,34
41336,32
32199,34
62791,34
18322,32
72470,48
17097,34
63457,35
18368,34
71790,34
43272,35
2425,34
85307,37
52684,35
97531,32
84702,50
40832,50
28416,33
93703,56
39752,40
79392,34
47067,34
22281,35
30273,50
31065,34
37008,35
96915,34
86636,45
66886,46
103230,32
100014,34
44985,32
91602,7
25992,50
44581,32
84470,32
48606,35
8925,34
94057,56
19043,35
99813,34
30872,47
57291,34
70138,34
98466,35
93347,32
102088,12
58710,37
50604,29
15220,34
62633,50
70795,34
45785,34
12880,34
93068,50
3693,17
35703,34
32846,48
99081,34
86588,0
28209,32
103145,42
